No,HOME_PORT,MONTH,YEAR,SST,FISHING_SCHEDULE,DATA_SOURCE,MACROZONE,ILAND,REGION,DISTANCE,LAT,LON,DIVERS,DIVING HOURS,CPUE
1,Villamil,Sep,2002,20.4,Day,Landing,Floreana,Floreana,Centre- South,33.7,-1.2301,-90.4723,1,40,1.9105
2,Baquerizo,Sep,2002,20.4,Night,Landing,Floreana,Floreana,Centre- South,69.2,-1.2881,-90.4968,1,4,0.2
3,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,36,-0.73991,-90.79762,1,4,1.125
4,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,42.2,-0.60311,-90.9571,1,4,0.125
5,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,37.4,-0.62526,-90.87685,1,4,0.625
6,Ayora,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,37.4,-0.59777,-90.89721,2,4,1.1875
7,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,37.4,-0.63675,-90.87298,2,4,0.5
8,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,42.2,-0.60304,-90.9081,2,4,0.375
9,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,36,-0.73991,-90.79762,2,4,0.875
10,Ayora,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,47.3,-0.60304,-90.9081,2,4,1.25
11,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,36,-0.73991,-90.79762,2,4,0.4375
12,Ayora,Sep,2002,22.5,Night,Landing,Isabela Norte y Este,Isabela,West,90.6,0.1711,-91.3558,1,2,0.25
13,Ayora,Sep,2002,22.5,Night,Landing,Isabela Norte y Este,Isabela,West,67.5,-0.218,-91.1731,7,10,0.085714286
14,Ayora,Sep,2002,22.5,Night,Landing,Isabela Norte y Este,Isabela,West,61.2,-0.3039,-91.0875,7,3,0.380952381
15,Ayora,Sep,2002,22.5,Night,Landing,Isabela Norte y Este,Isabela,West,50.3,-0.375,-90.9555,7,4,0.214285714
16,Ayora,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,90.6,0.1711,-91.3558,7,8,0.146428571
17,Ayora,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,67.5,-0.218,-91.1731,6,6,0.569444444
18,Ayora,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,47.3,-0.4944,-90.95,6,5,0.266666667
19,Villamil,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,40.8,-0.58936,-90.94234,1,7,2.042857143
20,Villamil,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,40.8,-0.58936,-90.94234,1,16,0.396875
21,Villamil,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,93.6,0.1423,-91.3766,1,5,0.1
22,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,30,1.451333333
23,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,20,1.8595
24,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,39,0.512820513
25,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,2,15,0.23
26,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,4,0.675
27,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,4,0.45
28,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,5,0.1
29,Villamil,Sep,2002,21.6,Night,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,41,1.063414634
30,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,77.3,-0.6796825,-91.26178085,1,4,0.275
31,Villamil,Sep,2002,21.2,Night,Landing,Isabela Sur,Isabela,West,17,-0.79173,-90.81927,2,7,0.142857143
32,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,17,-0.79173,-90.81927,1,10,0.113
33,Villamil,Sep,2002,21.2,Night,Landing,Isabela Sur,Isabela,West,17,-0.79173,-90.81927,1,5,0.34
34,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,17,-0.79173,-90.81927,1,15,0.876666667
35,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,17,-0.79173,-90.81927,1,12,2.078333333
36,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,2.5,0.6
37,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,4,1.025
38,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,3,0.533333333
39,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,4,0.1
40,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,3,0.133333333
41,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,4,0.9075
42,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,4,0.3975
43,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,5,0.226
44,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,4,0.7925
45,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.7,-1.05069,-91.17433,1,16,1.020625
46,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.7,-1.05069,-91.17433,1,5,1.22
47,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.7,-1.05069,-91.17433,1,3,0.433333333
48,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.7,-1.05069,-91.17433,1,12,0.481666667
49,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,1.93,-0.97723,-90.98803,1,3.5,0.771428571
50,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,12.2,-1.0394,-91.1467,1,4,0.2275
51,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,12.2,-1.0394,-91.1467,1,10,2.041
52,Villamil,Sep,2002,21.2,Night,Observer,Isabela Sur,Isabela,West,12.2,-1.02824,-91.24575,2,2.5,1.27
53,Villamil,Sep,2002,21.2,Night,Observer,Isabela Sur,Isabela,West,12.2,-1.02824,-91.29575,2,2.5,0.318
54,Villamil,Sep,2002,21.2,Night,Observer,Isabela Sur,Isabela,West,12.2,-1.05417,-91.16368,2,3,1.926666667
55,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,12.2,-1.0394,-91.1467,1,15,1.859333333
56,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,34.2,-1.01267,-91.41306,1,3,0.233333333
57,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,34.2,-1.0346,-91.41522,2,4,0.775
58,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,34.2,-0.92011,-91.50633,1,3,0.226666667
59,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,34.2,-0.92011,-91.50633,1,2,2.95
60,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,34.2,-1.01322,-91.41949,2,3,0.15
61,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,34.2,-0.95519,-91.461,1,12,0.056666667
62,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,34.2,-0.95519,-91.461,1,6,1.133333333
63,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,34.2,-0.95519,-91.461,1,6,0.75
64,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,34.2,-0.95519,-91.461,1,10,0.35
65,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,9.18,-1.02,-91.1,1,3,1.666666667
66,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,9.18,-1.02,-91.1,1,3,0.666666667
67,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,9.18,-1.02,-91.1,1,3,1.5
68,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,9.18,-1.02,-91.1,1,3,0.366666667
